LCode,District,Area,composite_adapcap,composite_exposure,composite_sensitivity,composite_hazard,Vulnerability,vulnerability_score,Risk,risk_score
60601,Dailekh,Naumule Gaunpalika,0.175882459,0.281976069,0.362159378,0.305958574,0.298461896,0.724933856,0.032079718,0.652489532
60602,Dailekh,Mahabu Gaunpalika,0.357171933,0.263788714,0.369611167,0.542247045,0.237596432,0.484874612,0.033966698,0.69487402
60603,Dailekh,Bhairabi Gaunpalika,0.366479803,0.057991718,0.312820649,0.276063541,0.198178199,0.32940531,0.003030527,0
60604,Dailekh,Thantikandh Gaunpalika,0.208980541,0.232807446,0.440421968,0.272416875,0.348382347,0.921824915,0.015869011,0.288372103
60605,Dailekh,Aathbis Municipality,0.344107095,0.500777031,0.561376911,0.202286249,0.368203133,1,0.047551073,1
60606,Dailekh,Chamunda Bindrasaini Municipality,0.25737228,0.234567131,0.35341827,0.400336001,0.262458204,0.582931832,0.023504012,0.459865984
60607,Dailekh,Dullu Municipality,0.349353682,0.447836505,0.399589967,0.422198337,0.259991741,0.573203863,0.04698915,0.987378333
60608,Dailekh,Narayan Municipality,0.648354551,0.365195195,0.326065983,0.338886373,0.114659619,0,0.016263259,0.29722752
60609,Dailekh,Bhagawatimai Gaunpalika,0.354681939,0.177447308,0.270538137,0.274134757,0.174583146,0.236344154,0.011701272,0.19475827
60610,Dailekh,Dungeshwor Gaunpalika,0.42550764,0.167088082,0.281838188,0.433628345,0.161913885,0.186375371,0.010717559,0.172662571
60611,Dailekh,Gurans Gaunpalika,0.360090887,0.172990425,0.367979126,0.480459384,0.235473196,0.476500365,0.017866481,0.333238349
20501,Sarlahi,Lalbandi Municipality,0.439778618,0.251090535,0.329805767,0.254318287,0.184764242,0.397676853,0.011798474,0.24545258
20502,Sarlahi,Hariwan Municipality,0.586057248,0.457941999,0.372935817,0.342327666,0.154374079,0.268992702,0.02420064,0.635078315
20503,Sarlahi,Bagmati Municipality,0.384895808,0.117641761,0.410111639,0.255979711,0.252261388,0.683486859,0.007596575,0.113445948
20504,Sarlahi,Barahathawa Municipality,0.404402022,0.395385643,0.3665046,0.225519189,0.218289399,0.53963582,0.019464222,0.48627926
20505,Sarlahi,Haripur Municipality,0.430256758,0.214532792,0.42437886,0.41586336,0.241786987,0.639134041,0.021571347,0.552476596
20506,Sarlahi,Ishworpur Municipality,0.379420133,0.390704281,0.48121493,0.306971187,0.298632297,0.879839897,0.035816452,1
20507,Sarlahi,Haripurwa Municipality,0.303290792,0.181236536,0.469362842,0.185326454,0.327009414,1,0.010983568,0.21985151
20508,Sarlahi,Parsa Gaunpalika,0.290092655,0.143971664,0.376083927,0.190056987,0.266984742,0.745831447,0.007305456,0.104300152
20509,Sarlahi,Brahmapuri Gaunpalika,0.338992815,0.326947755,0.457440344,0.170799053,0.302371354,0.895672564,0.016885132,0.40525473
20510,Sarlahi,Chandranagar Gaunpalika,0.291094707,0.267549367,0.419365882,0.150849467,0.297290693,0.874159007,0.011998557,0.251738362
20511,Sarlahi,Kabilashi Municipality,0.395085816,0.235056774,0.381664003,0.221473212,0.230873969,0.59292394,0.012019017,0.252381126
20512,Sarlahi,Chakraghatta Gaunpalika,0.33765523,0.411475572,0.458501034,0.212550287,0.303685762,0.901238295,0.026560129,0.709203893
20513,Sarlahi,Basbariya Gaunpalika,0.291801504,0.146249333,0.399239425,0.096382541,0.282740761,0.812548754,0.00398548,0
20514,Sarlahi,Dhanakaul Gaunpalika,0.233645371,0.18889309,0.423333322,0.205899604,0.324423451,0.989049993,0.012617805,0.27119263
20515,Sarlahi,Ramnagar Gaunpalika,0.388915656,0.112763838,0.353926502,0.29221552,0.216278944,0.531122748,0.007126682,0.098683803
20516,Sarlahi,Balara Municipality,0.354783621,0.358053774,0.413585356,0.342360387,0.266852046,0.745269559,0.032711639,0.902459371
20517,Sarlahi,Godaita Municipality,0.356349204,0.344593238,0.434686235,0.261749895,0.279786141,0.800037708,0.025235939,0.6676032
20518,Sarlahi,Bishnu Gaunpalika,0.325877917,0.221466437,0.397254686,0.159349313,0.267798156,0.74927577,0.009450737,0.171696203
20519,Sarlahi,Kaudena Gaunpalika,0.43959134,0.172539933,0.431302571,0.250992859,0.241705696,0.638789819,0.010467377,0.203634903
20520,Sarlahi,Malangawa Municipality,0.693523753,0.32628193,0.296429243,0.331908198,0.090848522,0,0.009838499,0.183878115
