LCode,District,Area,Percentage of economically active population,Percentage of households with household assets,Percentage of households with television access,Percentage of households that are female owned,Percentage of households with land owned by female,Percentage of population who only completed school leaving certificate (SLC),Percentage of population who completed college degree,"Percentage of employed in transportation, communication, and other public utilities",Percentage of employed in accommodation and food services,"Percentage of employed in public administration, defense, and social security",Percentage of employed in trade and commerce,Percentage of households with access to internet,Percentage of households with Cement bonded bricks/ stone foundation,Percentage of households with Reinforced Cement Concrete with pillars foundation,Percentage of households with Tap/piped water (within premises),Percentage of households with Covered well/kuwa,Percentage of households with Jar / bottle,Percentage of households with Electricity lighting,Percentage of households with Solar lighting,Percentage of households with Bio gas lighting
60601,Dailekh,Naumule Gaunpalika,70.51,86.5,2.42,1.23,4.17,5.19,1.96,0.47,0.13,0.35,7.3,1.54,4.95,1.82,20.79,0.12,0,13,84.44,0.02
60602,Dailekh,Mahabu Gaunpalika,67.04,90.05,7.43,0.68,3.55,7.91,2.78,0.64,0.48,0.88,7.86,18.12,2.42,0.5,30.67,2.87,0.03,34.25,61.95,0.03
60603,Dailekh,Bhairabi Gaunpalika,65.95,92.43,1.83,0.68,3.07,4.72,3.75,0.93,0.6,0.9,9.61,6.32,3.35,1.57,15.65,3.05,0.05,18.15,79.78,0.02
60604,Dailekh,Thantikandh Gaunpalika,73.91,80.96,0.26,0.21,0.63,5.68,3.55,0.34,0.29,0.55,5.25,9.35,1.41,0.99,20.52,0.18,0,2.4,93.96,0.05
60605,Dailekh,Aathbis Municipality,71.18,88.73,1.61,0.16,1.34,5,4.2,0.78,1.26,0.66,7.39,11.09,2.61,0.93,25.97,0.44,0,6,87.97,0.03
60606,Dailekh,Chamunda Bindrasaini Municipality,66.91,84.71,0.61,0.31,1.11,6.23,3.94,0.92,1.09,0.44,7.72,5.53,1.94,0.33,32.43,0.35,0.04,7.37,89.61,0.02
60607,Dailekh,Dullu Municipality,67.8,88.1,6.52,0.35,3.28,5.19,3.27,0.88,0.63,0.81,8.34,9.23,2.57,2.29,18.04,1.88,0,41.29,55.09,0.07
60608,Dailekh,Narayan Municipality,67.14,95.05,29.52,1.85,6.24,10.02,6.12,1.79,1.66,2.25,11.46,32.67,9.7,12.88,48.83,0.58,0.03,74.8,22.71,0.02
60609,Dailekh,Bhagawatimai Gaunpalika,65.1,95.44,1.66,0.59,3.49,6.86,2.69,0.68,0.16,1.19,7.73,5.52,3.86,0.48,47.8,0.14,0.39,9.41,88.25,0.03
60610,Dailekh,Dungeshwor Gaunpalika,74.53,96.09,11.92,1.35,5.3,7.42,3.16,0.92,1.11,1.1,7,20.3,4.3,3.38,57.22,0.35,0,84.91,13.12,0
60611,Dailekh,Gurans Gaunpalika,76.98,96.92,6.28,0.51,3.15,7.03,2.21,1.43,1.1,0.73,5.29,5.18,2.6,0.46,75.45,0.11,0,23.87,73.53,0
