LCode,District,Area,Number of flood incidence,Number of landslide incidence,Number of heatwaves incidence,Number of hailstorm incidence,Number of windstorm incidence,Number of lightning incidence,Number of fire incidence,Number of household damaged by flood,Number of household damaged by landslide,Number of death by landslide,Number of death by heat waves,Number of death by fire,Number of death by storms,Consecutive dry days,Cold spell during indicator,Consecutive wet days,Diurnal temperature range,Growing season length,Annual total wet-day precipitation,Number of heavy precipitation days,Number of very heavy precipitation days,Very wet days,Extremely wet days,Max 1-day precipitation amount,Max 5-day precipitation amount,Simple daily intensity index,Warm nights,Min Tmin,Max Tmin,Cool days,Warm days,Min Tmax,Max Tmax,Warm spell duration indicator
60601,Dailekh,Naumule Gaunpalika,0.8,0.533333333,0,0,0,0.192307692,0.2,1,0.25,0.45,0,0.2,0,1.231445,3.243954,2.097768,0.628417,1.944353,2.105256,2.966402,1.147655,0.807312,1.061754,0.595489,0.497144,1.041468,0.88486,1.850529,1.626204,3.37165,1.426022,1.273555,1.741584,1.644579
60602,Dailekh,Mahabu Gaunpalika,1,0.733333333,0,0,1,1,1,0.05,1,0.9,0,1,1,0.839498,2.003856,2.251039,1.644576,2.045132,3.462556,3.403522,3.78125,1.528841,1.424037,1.382955,1.587271,2.740029,1.088742,1.447164,2.594769,2.563263,1.861007,1.272788,3.163498,0.850591
60603,Dailekh,Bhairabi Gaunpalika,0.3,0,0,0,0,0.076923077,0.05,0.05,0,0,0,0.2,0,0.693778,2.469628,2.038268,2.300822,2.106794,2.718345,2.218148,2.468207,1.577208,1.351107,1.261144,1.470729,2.412671,1.517744,1.509714,2.158298,2.052495,1.961851,1.698653,2.114282,0.908652
60604,Dailekh,Thantikandh Gaunpalika,0.1,0.066666667,0,0,0.333333333,0.038461538,0.05,0,0.015625,0.05,0,0.4,0.5,1.615597,1,1.60661,3.740855,2.02364,1.594678,0.269943,1.231106,2.045532,1.660906,2.897565,2.05665,2.627398,2.52484,1.667177,1.346372,1.820344,0.631053,2.702094,1.045955,0.858558
60605,Dailekh,Aathbis Municipality,0.3,0.8,0,0,0,0,0,0.2,0.125,0.1,0,0,0,2.265928,1.965319,1.852601,3.524263,2.124727,0.46017,0.677705,0.5625,0.99171,0.95805,1.036502,0.25983,2.004754,1.291986,1.83388,1.028749,2.231913,0,2.031374,0.82546,0.529287
60606,Dailekh,Chamunda Bindrasaini Municipality,0.1,0.333333333,0,0,0,0.153846154,0,0,0.515625,0.15,0,0,0,0.801183,2.055236,3.121126,2.993328,2.14851,2.570982,1.354143,1.446244,2.141737,2.39173,2.125546,2.192968,1.723698,2.42473,1.920799,2.805462,2.149295,2.112376,2.24161,2.446925,2.015874
60607,Dailekh,Dullu Municipality,0.1,1,1,0,0,0.076923077,0.15,0.05,0.234375,0.05,1,0,0,0.876231,2.2485,2.081422,2.680621,2.131488,2.699543,1.694167,1.982637,1.701811,2.291176,2.011526,2.148809,1.858078,2.24366,1.791552,2.935284,2.071945,2.249868,1.967282,2.234182,1.131675
60608,Dailekh,Narayan Municipality,0.4,0.466666667,0,0,0,0.346153846,0.15,0.15,0.15625,0.1,0,0,0,0.839498,2.003856,2.251039,1.644576,2.045132,3.462556,3.403522,3.78125,1.528841,1.424037,1.382955,1.587271,2.740029,1.088742,1.447164,2.594769,2.563263,1.861007,1.272788,3.163498,0.850591
60609,Dailekh,Bhagawatimai Gaunpalika,0,0.733333333,0,1,0,0.115384615,0,0,0.609375,0.25,0,0,0,1.258202,2.765369,2.813154,0.796479,2,2.324229,3.139407,1.014687,0.887741,1.08323,0.42249,0.546649,0.913827,0.609543,1.687484,1.195499,3.002244,1.276813,1.17068,1.204601,2.110585
60610,Dailekh,Dungeshwor Gaunpalika,0.3,0.266666667,0,0,0,0.269230769,0.1,0.15,0.359375,1,0,0.6,0,3.793489,0.939488,2.720183,1.835659,2.01414,3.469806,2.797253,3.088185,1.768909,2.121401,2.540875,2.692505,3.699249,1.909453,1.554886,2.737532,1.813026,2.909348,1.425172,1.266045,1.809524
60611,Dailekh,Gurans Gaunpalika,0,0.666666667,0,0,0,0.115384615,0,0,0.09375,0,0,0,0,2.240224,1.530413,3.017546,2.769798,2,2.936988,1.920485,1.713033,3,3.619629,3.648375,3.682125,2.389339,3.177639,2.175012,3.65826,2.332061,2.517444,2.084538,2.650059,2.259073
